code	diisplay	definition
1784-8	Nikolai	Nikolai
1785-5	Ninilchik	Ninilchik
1786-3	Nondalton	Nondalton
1787-1	Northway	Northway
1788-9	Nulato	Nulato
1789-7	Pedro Bay	Pedro Bay
1790-5	Rampart	Rampart
1791-3	Ruby	Ruby
1792-1	Salamatof	Salamatof
1793-9	Seldovia	Seldovia
1794-7	Slana	Slana
1795-4	Shageluk	Shageluk
1796-2	Stevens	Stevens
1797-0	Stony River	Stony River
1798-8	Takotna	Takotna
1799-6	Tanacross	Tanacross
1800-2	Tanaina	Tanaina
1801-0	Tanana	Tanana
1802-8	Tanana Chiefs	Tanana Chiefs
1803-6	Tazlina	Tazlina
1804-4	Telida	Telida
1805-1	Tetlin	Tetlin
1806-9	Tok	Tok
1807-7	Tyonek	Tyonek
1808-5	Venetie	Venetie
1809-3	Wiseman	Wiseman
1813-5	Tlingit-Haida	Tlingit-Haida
1837-4	Tsimshian	Tsimshian
1814-3	Angoon	Angoon
1815-0	Central Council of Tlingit and Haida Tribes	Central Council of Tlingit and Haida Tribes
1816-8	Chilkat	Chilkat
1817-6	Chilkoot	Chilkoot
1818-4	Craig	Craig
1819-2	Douglas	Douglas
1820-0	Haida	Haida
1821-8	Hoonah	Hoonah
1822-6	Hydaburg	Hydaburg
1823-4	Kake	Kake
1824-2	Kasaan	Kasaan
1825-9	Kenaitze	Kenaitze
1826-7	Ketchikan	Ketchikan
1827-5	Klawock	Klawock
1828-3	Pelican	Pelican
1829-1	Petersburg	Petersburg
1830-9	Saxman	Saxman
1831-7	Sitka	Sitka
1832-5	Tenakee Springs	Tenakee Springs
1833-3	Tlingit	Tlingit
1834-1	Wrangell	Wrangell
1835-8	Yakutat	Yakutat
1838-2	Metlakatla	Metlakatla
1842-4	Greenland Eskimo	Greenland Eskimo
1844-0	Inupiat Eskimo	Inupiat Eskimo
1891-1	Siberian Eskimo	Siberian Eskimo
1896-0	Yupik Eskimo	Yupik Eskimo
1845-7	Ambler	Ambler
1846-5	Anaktuvuk	Anaktuvuk
1847-3	Anaktuvuk Pass	Anaktuvuk Pass
1848-1	Arctic Slope Inupiat	Arctic Slope Inupiat
1849-9	Arctic Slope Corporation	Arctic Slope Corporation
1850-7	Atqasuk	Atqasuk
1851-5	Barrow	Barrow
